TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4
1709624019	28.39	20.12	4.45	4.43	4.61	4.41
1709624020	28.41	20.12	4.45	4.43	4.61	4.41
1709624021	28.39	20.12	4.45	4.43	4.61	4.41
1709624022	28.48	20.12	4.45	4.43	4.61	4.41
1709624023	28.45	20.12	4.45	4.43	4.61	4.41
1709624024	28.52	20.11	4.45	4.43	4.60	4.41
1709624025	28.44	20.11	4.45	4.43	4.60	4.41
1709624026	28.32	20.12	4.45	4.43	4.60	4.41
1709624027	28.33	20.13	4.45	4.43	4.61	4.41
1709624028	28.35	20.11	4.45	4.43	4.61	4.41
1709624029	28.41	20.10	4.45	4.43	4.60	4.41
1709624030	28.36	20.12	4.45	4.43	4.61	4.41
1709624031	28.53	20.11	4.45	4.43	4.61	4.41
1709624032	28.42	20.11	4.45	4.43	4.61	4.41
1709624033	28.45	20.11	4.45	4.43	4.60	4.41
1709624034	28.50	20.11	4.45	4.43	4.60	4.41
1709624035	28.38	20.11	4.45	4.43	4.60	4.41
1709624036	28.41	20.13	4.45	4.43	4.60	4.41
1709624037	28.45	20.14	4.45	4.43	4.60	4.41
1709624038	28.43	20.12	4.45	4.43	4.60	4.41
1709624039	28.39	20.13	4.45	4.43	4.60	4.41
1709624040	28.41	20.13	4.45	4.43	4.60	4.41
1709624041	28.43	20.13	4.45	4.43	4.60	4.41
1709624042	28.38	20.11	4.45	4.43	4.60	4.41
1709624043	28.49	20.11	4.45	4.43	4.60	4.41
1709624044	28.49	20.12	4.45	4.43	4.60	4.41
1709624045	28.38	20.12	4.45	4.43	4.60	4.41
1709624046	28.31	20.11	4.45	4.43	4.60	4.41
1709624047	28.39	20.12	4.45	4.43	4.60	4.41
1709624048	28.54	20.11	4.45	4.43	4.60	4.41
1709624049	28.31	20.13	4.45	4.43	4.60	4.41
1709624050	28.49	20.13	4.45	4.43	4.60	4.41
1709624051	28.47	20.11	4.45	4.43	4.60	4.41
1709624052	28.47	20.10	4.45	4.43	4.60	4.41
