TIMESTAMP	HEAD He3	PUMP He3	SWITCH He3	HEAD He4	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1729604663	291.077	290.224	290.436	300.000	290.501	290.236	278.820	0	0	0	0
1729604664	291.054	290.224	290.436	300.000	290.501	290.236	278.826	0	0	0	0
1729604665	290.832	290.224	290.436	300.000	290.501	290.236	278.793	0	0	0	0
1729604666	291.321	290.224	290.436	300.000	290.501	290.236	278.740	0	0	0	0
1729604667	296.426	290.224	290.436	300.000	290.500	290.236	278.582	0	0	0	0
1729604668	296.915	290.224	290.436	300.000	290.501	290.236	278.467	0	0	0	0
1729604669	294.628	290.224	290.436	300.000	290.500	290.236	278.450	0	0	0	0
1729604670	294.961	290.224	290.436	300.000	290.501	290.236	278.328	0	0	0	0
1729604671	291.099	290.224	290.436	300.000	290.501	290.236	278.320	0	0	0	0
1729604672	293.652	290.225	290.436	300.000	290.501	290.236	278.154	0	0	0	0
1729604673	293.141	290.225	290.436	300.000	290.501	290.236	278.134	0	0	0	0
1729604674	290.744	290.225	290.436	300.000	290.501	290.236	278.118	0	0	0	0
1729604675	292.542	290.224	290.436	300.000	290.501	290.236	278.132	0	0	0	0
1729604676	294.206	290.224	290.437	300.000	290.501	290.236	277.947	0	0	0	0
1729604677	287.980	290.224	290.436	300.000	290.500	290.236	277.914	0	0	0	0
1729604678	291.077	290.224	290.436	300.000	290.500	290.236	277.871	0	0	0	0
1729604679	293.208	290.224	290.436	300.000	290.500	290.236	277.733	0	0	0	0
1729604680	297.714	290.224	290.436	300.000	290.500	290.236	277.724	0	0	0	0
1729604681	292.253	290.224	290.436	300.000	290.500	290.236	277.546	0	0	0	0
1729604682	286.892	290.224	290.436	300.000	290.500	290.236	277.569	0	0	0	0
1729604683	291.365	290.224	290.437	300.000	290.500	290.236	277.501	0	0	0	0
1729604684	298.646	290.224	290.437	300.000	290.500	290.236	277.336	0	0	0	0
1729604685	293.296	290.224	290.437	300.000	290.500	290.236	277.245	0	0	0	0
1729604686	288.313	290.223	290.436	300.000	290.500	290.236	277.290	0	0	0	0
1729604687	289.001	290.223	290.436	300.000	290.500	290.236	277.209	0	0	0	0
1729604688	292.630	290.223	290.436	300.000	290.500	290.236	277.208	0	0	0	0
1729604689	290.211	290.223	290.436	300.000	290.499	290.236	277.067	0	0	0	0
1729604690	295.072	290.223	290.436	300.000	290.499	290.236	277.091	0	0	0	0
1729604691	293.230	290.223	290.436	300.000	290.499	290.236	276.960	0	0	0	0
1729604692	298.091	290.223	290.436	300.000	290.499	290.236	276.747	0	0	0	0
1729604693	297.958	290.223	290.436	300.000	290.499	290.236	276.766	0	0	0	0
